행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수
잠자리목,0,,철갑상어과,0,,칼새목,0,,토끼목,0,,유미목,0
연체동물문,0,,양태과,0,,쏙독새목,0,,우제목,0,,뱀목,0
하루살이목,0,,시클리과,0,,사다새목,0,,식육목,0,,거북목,0
강도래목,0,,가자미과,0,,논병아리목,0,,기각아목,0,,무미목,0
유형동물문,0,,주둥치과,0,,올빼미목,0,,첨서목,0,,총합계,0
거미강,0,,검정우럭과,0,,닭목,0,,박쥐목,0,,,
파리목,0,,퉁가리과,0,,황새목,0,,고슴도치목,0,,,
극피동물문,0,,구굴무치과,0,,도요목,0,,설치목,0,,,
갑각강,0,,가물치과,0,,슴새목,0,,총합계,0,,,
나비목,0,,꺽지과,0,,두견목,0,,,,,,
유선형동물문,0,,잉어과,0,,아비목,0,,,,,,
날도래목,0,,농어과,0,,두루미목,0,,,,,,
자포동물문,0,,참복과,0,,참새목,0,,,,,,
노린재목,0,,대구과,0,,딱다구리목,0,,,,,,
태형동물문,0,,칠성장어과,0,,파랑새목,0,,,,,,
딱정벌레목,0,,동사리과,0,,매목,0,,,,,,
편형동물문,0,,로리카리아과,0,,기러기목,0,,,,,,
뱀잠자리목,0,,동자개과,0,,비둘기목,0,,,,,,
환형동물문,0,,포에킬리아과,0,,총합계,0,,,,,,
벌목,0,,돛양태과,0,,,,,,,,,
소악강,0,,양볼락과,0,,,,,,,,,
총합계,0,,둑중개과,0,,행 레이블,합계 : 종수,,,,,,
,,,연어과,0,,텃새,21,,,,,,
,,,드렁허리과,0,,겨울철새,16,,,,,,
,,,종개과,0,,여름철새,6,,,,,,
,,,망둑어과,0,,구분없음,0,,,,,,
,,,찬넬동자개과,0,,나그네새,0,,,,,,
,,,메기과,0,,길잃은새,0,,,,,,
,,,참서대과,0,,총합계,43,,,,,,
,,,멸치과,0,,,,,,,,,
,,,청어과,0,,,,,,,,,
,,,미꾸리과,0,,,,,,,,,
,,,큰가시고기과,0,,,,,,,,,
,,,뱀장어과,0,,,,,,,,,
,,,학공치과,0,,,,,,,,,
,,,뱅어과,0,,,,,,,,,
,,,바다방이과,0,,,,,,,,,
,,,버들붕어과,0,,,,,,,,,
,,,황줄베도라치과,0,,,,,,,,,
,,,송사리과,0,,,,,,,,,
,,,카라신과,0,,,,,,,,,
,,,숭어과,0,,,,,,,,,
,,,실고기과,0,,,,,,,,,
,,,총합계,0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
