□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
북부지방산림청,2016-1,1,노목,보목,기타,주목,Taxus cuspidata,홍천군, 내면 창촌리 산3,임,경사지,2016.10.04.,1139±60,1140±61년,1000,165,520,,,,,,
북부지방산림청,2003-13,1,노목,풍치목,소나무,소나무, Pinus densiflora ,인제군,인제읍 덕적리 산1,임,경사지,2003.12.04.,300,316,1600,105,331,,,,,,
북부지방산림청,2003-14,1,노목,풍치목,소나무,소나무, Pinus densiflora ,인제군,기린면 방동리 산20,임,평탄지,2003.12.04.,300,316,2400,153,481,,,,,,
북부지방산림청,2005-11,1,노목,풍치목,기타,돌배나무,Pyrus pyrifolia,인제군,기린면 진동리 산71,임,평탄지,2005.12.15.,250,264,2400,98,295,,,,,,
북부지방산림청,2005-13,1,노목,풍치목,기타,돌배나무,Pyrus pyrifolia,인제군,기린면 진동리 산71,임,경사지,2005.12.15.,300,314,1600,83,263,,,,,,
북부지방산림청,2005-14,1,노목,풍치목,기타,졸참나무,Quercus serrata,인제군,인제읍 가아리 산1-40,임,경사지,2005.12.15.,220,234,2300,96,304,,,,,,
북부지방산림청,1998-1,1,노거목,당산목,소나무,소나무, Pinus densiflora ,양구군,금악면 금악리 산1,임,경사지,1998.08.27.,200,221,2400,103,326,,,,,,
북부지방산림청,2004-4,1,노거목,당산목,기타,졸참나무,Quercus serrata,양구군,해안면 만대리 산42,임,경사지,2004.09.20.,170,185,2850,92,289,,,,,,
북부지방산림청,2004-5,1,노거목,당산목,기타,복자기,Acer triflorum Kom,양구군,양구읍 상무룡리 산1-22,임,경사지,2004.09.20.,150,165,1550,113,356,,,,,,
