,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,,토지면적,,,연면적 산정,,,,도입시설 비율,,,,,,,,도입시설 연면적,,,,,,,,,"세대계획(계약면적 기준,㎡)",,,,,,,,,,,,,,,,,,"세대계획(평, 세대)",,,,,,,,,,,
,,,㎡,평,비율,용적률,지하비율,합계(㎡),합계(평),주거 ,상업,OT,업무,호텔,시니어,OD,합계(%),주거 ,상업,OT,업무,호텔,시니어,OD,합계(㎡),합계(평),"25TY
(OT전용)",,"49TY
(OT전용)",,59TY,,84TY,,101TY,,"주거
계약면적 합계","상업
계약면적 합계","OT
계약면적 합계",계약면적 합계,(주거차이),체크,"세대수 합계
(OT미포함)","세대수 합계
(OT 포함)",전용,공급,계약,세대수,,,,,,,,
총  계,,,648939,196304.0475,1,,,,,,,,,,,,,,,,,,,,,,58.3,,110.7,,120,,168.5,,202.1,,,,,,,,5465.65903074694,5585.844125854592,,,#REF!,,,,,,,,,
주거시설용지,합  계,,260993,78950.38249999999,0.4021841806394746,,,,277805.1746601812,,,,,,,,,897570.6584488273,13786.764259061838,7006.7910447761205,0,0,0,0,918364.2137526652,277805.1746601812,,,,,,,,,,,,,,,,,5135.65903074694,5255.844125854592,,,,,,,,,,,,
,"공동
주택",소 계,260993,78950.38249999999,0.4021841806394746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4361.414431718669,4361.414431718669,,,,,,,,,,,,
,,a1,40786,12337.765,0.06285028330860065,2.5,0.3,145664.2857142857,44063.44642857143,0.995,0.0050000000000000044,0,,,,,1,144935.9642857143,728.3214285714292,0,,,,,145664.2857142857,44063.44642857143,0,0,0,0,133.72758304761908,0.150299770663809,711.3474330224672,0.7995011471006288,44.66408637166893,0.05019908223556215,144935.9642857143,728.3214285714292,0,145664.2857142857,0,True,889.7391024417551,889.7391024417552,,,,,,,,,,,,
,,a2,60247,18224.7175,0.09283923450432167,2.5,0.3,215167.85714285716,65088.27678571428,0.995,0.0050000000000000044,0,,,,,1,214092.01785714287,1075.8392857142867,0,0,0,0,0,215167.85714285716,65088.27678571429,0,0,,0,197.5355684761905,0.150299770663809,1050.7661647944044,0.7995011471006288,65.97551149006856,0.050199082235562124,214092.0178571429,1075.8392857142867,0,215167.8571428572,0,True,1314.2772447606635,1314.2772447606635,#REF!,#REF!,#REF!,#REF!,,,,,,,,
,,a3,80453,24337.032499999998,0.123976213480774,2.5,0.3,287332.1428571429,86917.97321428571,0.995,0.0050000000000000044,0,,,,,1,285895.48214285716,1436.6607142857158,0,0,0,0,0,287332.1428571429,86917.97321428572,0,0,0,0,263.7862315238095,0.15029977066380895,1403.1784197753286,0.7995011471006289,88.10277401215805,0.05019908223556213,285895.48214285716,1436.6607142857158,0,287332.1428571429,0,True,1755.0674253112961,1755.0674253112961,#REF!,#REF!,#REF!,#REF!,,,,,,,,
,,a4 (한동대),18443,5579.0075,0.028420236724869364,2.5,0.3,65867.85714285714,19925.026785714286,0.995,0.0050000000000000044,0,,,,,1,65538.51785714286,329.339285714286,0,0,0,0,0,65867.85714285714,19925.026785714286,0,0,0,0,60.470205809523776,0.15029977066380892,321.6638235481136,0.7995011471006289,20.196629847317446,0.050199082235562124,65538.51785714286,329.339285714286,0,65867.85714285714,0,True,402.3306592049548,402.3306592049548,#REF!,#REF!,#REF!,#REF!,,,,,,,,
,주상복합 (한동대),,26826,8114.865,0.041338245967648735,3.5,0.33,140135.8208955224,42391.085820895525,0.9,0.05,0.05,,,,,1,126122.23880597016,7006.7910447761205,7006.7910447761205,0,0,0,0,140135.8208955224,42391.085820895525,120.18509510765216,0.13437064522299744,0,0,116.36878567164175,0.13010389350284438,619.0094450595687,0.6920716621081909,38.86636829705996,0.04345379916596732,126122.23880597016,7006.7910447761205,7006.7910447761205,140135.8208955224,0,True,774.2445990282704,894.4296941359225,0,#REF!,#REF!,#REF!,,,,,,,,
기타,원형지 (오메가),,34238,10356.994999999999,0.05275996665326017,1.5,0.2,64196.25,19419.365625,0.95,0.05,0,,,,,1,60986.4375,3209.8125,0,0,0,0,0,64196.25,19419.365625,0,0,0,0,0,0,200,0.6060606060606061,130,0.3939393939393939,59973,3209.8125,0,63182.8125,1013.4375,True,330,330,0,#REF!,#REF!,#REF!,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,a6,,0,0,2.5,0.3,0,0,0.995,0.005,0,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
,연립주택,,,0,0,2,0.25,0,0,0.95,0.05,0,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
,잔여,,,0,0,2.5,0.3,0,0,0.995,0.005,0,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,
자족시설용지,합  계,,151898,45949.145,0.23407130716446384,,,165275,49995.6875,,,,,,,,,0,2499.784375,0,47495.903125,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,앵커기업,소 계,33055,9999.137499999999,0.05093699099607205,3.5,0.3,165275,49995.6875,,,,,,,,,0,2499.784375,0,47495.903125,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,포스코,15991,4837.2775,0.024641761398220788,3.5,0.3,79955.00000000001,24186.387500000004,,0.05,,0.95,,,,1,0,1209.3193750000003,0,22977.068125,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,에코프로,12064,3649.3599999999997,0.018590345163412896,3.5,0.3,60320,18246.8,,0.05,,0.95,,,,1,0,912.34,0,17334.46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNAI Korea,5000,1512.5,0.007704884434438368,3.5,0.3,25000.000000000004,7562.500000000001,,0.05,,0.95,,,,1,0,378.12500000000006,0,7184.375000000001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,한동대,소 계,28183,8525.3575,0.0434293516031553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,서측 (법인),3545,1072.3625,0.005462763064016803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,북측 (법인),2554,772.5849999999999,0.003935654969111118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,북측 (대학),2700,816.75,0.004160637594596718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동측 (법인),19384,5863.66,0.029870295975430665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,지식산업,,29817,9019.6425,0.04594730783632976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,의료,,20658,6249.045,0.03183350052932556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,17067,5162.7675,0.026299852528511924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,복합용지,,19956,6036.69,0.030751734754730413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,포항시,,3000,907.5,0.004622930660663021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,잔여,,162,49.004999999999995,0.0002496382556758031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기반시설용지,합  계,,237658,71891.545,0.36622548498395074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,#REF!,#REF!,,,,,,,,
