한동대 기업혁신파크 토지이용계획표(대안35),,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,,기정 (대안33),,증감,,변경 (대안35),,비고,,,,,,,,,,,,,,,,,,,
,,,면적(㎡),구성비(%),면적(㎡),구성비(%),면적(㎡),구성비(%),,,,,,,,,,,,,,,,,,,,
총 계,,,648939,100,0,0,648939,100,,,648939,,,,,,,,,,,,,,,,,
주거시설용지,합 계,,174938,26.957541463835586,-15430,-2.377727336467686,159508,24.5798141273679,,648939,,,,,,,,,,,,,,,,,,
,공동주택,합 계,174938,26.957541463835586,-15430,-2.377727336467686,159508,24.5798141273679,,100341,,,,,,,,,,,,,,,,,,
,,A1,60247,9.283923450432168,6576,1.0133464008173334,66823,10.297269851249501,,,,,,,,,,,,,,,,,,,,
,,A2,80453,12.3976213480774,-22006,-3.3910737372850157,58447,9.006547610792385,,,,,,,,,,,,,,,,,,,,
,,A3,34238,5.275996665326017,0,0,34238,5.275996665326017,원형지 개발,,,,,,,,,,,,,,,,,,,
복합시설,합 계,,101060,15.57311241888683,-2230,-0.3436378457759517,98830,15.229474573110878,,,,,,,,,,,,,,,,,,,,
,교육복합,,33448,5.15425949126189,0,0,33448,5.15425949126189,,,,,,,,,,,,,,,,,,,,
,업무복합,,40786,6.285028330860065,-2230,-0.3436378457759508,38556,5.941390485084114,,,,,,,,,,,,,,,,,,,,
,주상복합,,26826,4.133824596764874,0,0,26826,4.133824596764874,,,,,,,,,,,,,,,,,,,,
자족시설용지,합 계,,199412,30.728928296804476,-669,-0.003091353732784796,198743,30.72583694307169,,,,,,,,,,,,,,,,,,,,
,신산업복합,,135809,20.927853003132807,-450,-0.06934395990994702,135359,20.85850904322286,,공동체공원 포함 가용지 면적,,,,,,,,,,,,,,,,,,
,신산업지원,,63603,9.80107529367167,-219,-0.0337473938228392,63384,9.76732789984883,,가용지로 구분 안함(미정)-NIBC의견,,,,,,,,,,,,,,,,,,
기반시설용지,합 계,,173529,26.740417820473112,18329,2.7244565359764152,191858,29.464874356449528,,,,,,,,,,,,,,,,,,,,
,교육시설용지,합 계,19931,3.071321033255822,14965,2.3060719112274035,34896,5.377392944483225,,,,,,,,,,,,,,,,,,,,
,,초등학교,15035,2.316858749435617,-35,-0.005393419104106734,15000,2.3114653303315102,,,,,,,,,,,,,,,,,,,,
,,중학교,,0,15000,2.3114653303315102,15000,2.3114653303315102,,,,,,,,,,,,,,,,,,,,
,,한동글로벌학교,4896,0.754462283820205,0,0,4896,0.754462283820205,,,,,,,,,,,,,,,,,,,,
,공원·녹지,합 계,48306,7.443842949799595,542,0.0835209472693137,48848,7.527363897068908,,,,,,,,,,,,,,,,,,,,
,,공원,36150,5.57063144609894,-375,-0.05778663325828681,35775,5.512844812840653,저류지 (9.682),,,,,,,,,,,,,,,,,,,
,,완충녹지,6975,1.0748313786041523,516,0.07951440736340398,7491,1.1543457859675563,,,,,,,,,,,,,,,,,,,,
,,경관녹지,2951,0.35474227932055247,0,0,2951,0.35474227932055247,,,,,,,,,,,,,,,,,,,,
,,공공공지,2230,0.3436378457759512,401,0.06179317316419575,2631,0.40543101894014694,,,,,,,,,,,,,,,,,,,,
,기타용지,합 계,105292,16.225253837417696,2822,0.3348636774796958,108114,16.560117514897392,,,,,,,,,,,,,,,,,,,,
,,공공청사,2020,0.31127733115131007,0,0,2020,0.31127733115131007,,,,,,,,,,,,,,,,,,,,
,,배수지,0,0,1506,0.23207111916528364,1506,0.23207111916528364,,,,,,,,,,,,,,,,,,,,
,,주차장,4247,0.6544528838611949,0,0,4247,0.6544528838611949,,,,,,,,,,,,,,,,,,,,
,,도로,99025,15.159523622405189,1316,0.20279255831441567,100341,15.362316180719604,,,,,,직접사용면적,,,,,,,,,,,,,,
,,,,,,,,,,,면적,천,총대비,,주용도대비,,,,,,,,,,,,,
공원녹지법 시행규칙 별표2,,원형지 인구수 포함,,,,,,,,소  계,55883,56,8.6,28.11822303175458,28.12,,135359,,,,,,,,,,,
공원녹지율,,최소필요면적,,계획면적,비율,,,,,한동대,22052,22,3.4,11.095736705192133,11.1,,,,,,,,,,,,,
"그밖의 개발계획
(인당 3㎡)",공동체공원 포함,#REF!,#REF!,48848,7.527363897068907,,,,,에코프로,12561,13,1.9,6.320222599034935,6.32,,,,,,,,,,,,,
,공동체공원 포함X,,,48848,7.527363897068907,,,,,포스코,16110,16,2.5,8.10594586979164,8.11,,,,,,,,,,,,,
,,,,,,,,,,unai,5160,5,0.8,2.59631785773587,2.6,,,,,,,,,,,,,
가용지 비율,,가용지면적,주용도면적,비율,,주용도전체,주용도면적,비율,,소  계,77788,77,12,39.13999486774377,39.14,,,,,,,,,,,,,
"가용지 비율
(30% 이상)","전체-(도로,공원 제외)",498244,198743,39.888689076035035,,198743,55883,28.11822303175458,,포항테크노파크,3056,3,0.5,1.5376642196203136,1.54,,,,,,,,,,,,,
,"전체-(도로,공원.정원 제외)",498244,135359,27.167211245895583,,135359,55883,41.28502722390088,,신산업 융복합,11348,11,1.7,5.709886637516793,5.71,,,,,,,,,,,,,
,,,,,,,,,,기업도시지원용지,63384,63,9.8,31.892444010606663,31.89,,,,,,,,,,,,,
포항시 주차장조례,,,,,,,,,,소  계,65072,65,10,32.74178210050165,32.74,,,,,,,,,,,,,
구분,최소필요면적,계획면적,부족(초과)면적,,,,,,,BT산업,22184,22,3.4,11.162154138762121,11.16,,,,,,,,,,,,,
주차장(0.6%),3893.634,4247,353.366,,,,,,,R&D,32891,33,5.1,16.549513693564048,16.55,,,,,,,,,,,,,
,,,,,,,,,,이차전지지식산업,9997,10,1.5,5.030114268175483,5.03,,,,,,,,,,,,,
,,,,,,,,,,합계,198743,198,30.6,100.00000000000001,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
