,,,,,,,,,,,,,,,,,,
,1)도로,,,,,,,,,,,,,,,,,
,구분,합 계,,,1류,,,2류,,,3류,,,,,,,
,,노선,연장,면적,노선,연장,면적,노선,연장,면적,노선,연장,면적,,,,,
,계,3,450,0,0,0,0,1,450,0,2,0,0,,,,,
,대로,2,0,0,0,0,0,0,0,0,2,0,0,,,,,
,중로,1,450,0,0,0,0,1,450,0,0,0,0,,,,,
,소로,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,구분,규모,,,,기능,연장,기점,종점,사용,주요,최 초,비고,면적,,,,
,,등급,류별,번호,폭원,,(m),,,형태,경과지,결정일,,,,,,
,,,,,,,,,,,,,,,,-,,
,신설,대로,3,0,26,보조간선도로,,,,,,,,,,대로3-0,,
,기정,중로,2,190,15,보조간선도로,450,대로2-4,양덕동산74-4,일반도로,,건고 제43호 1987-02-07,,,,중로2-190,,
,변경,대로,3,0,26,보조간선도로,,대로2-4,대로3-1,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,2) 광장,,,,,,,,,,,,,,,,,
,구분,도면표시번호,시설명,시설의종류,위치,면적(㎡),,,,최초,비고,,,,,,,
,,,,,,기정,변경,,변경후,결정일,,,,,,,,
,계,,,-,-,59718,,9127,68845,,,,,,,,,
,변경,39,광장,교통광장,,59718,증),9127,68845,국토교통부 고시 제2017-29호(2017.01.13),,,,,,,,
