,,,,,
보고서,2공구 구분,초안,본안(25.09),본안(26.02),증감
,시설+연결도로,90777,72958,68174,-22603
,시설부 사면,77569,85689,63256,-14313
,소계,168346,158647,131430,-36916
,진입도로,8663,10230,8711,48
,진입도로 사면,9245,28230,13712,4467
,소계,17908,38460,22423,4515
,합계(2공구개발지역),186254,197107,153853,-32401
,,,,,
구적면적,2공구 구분,초안,본안(25.09),본안(26.02),증감
,시설+연결도로,90777,72958,68174,-22603
,시설부 사면,77470,85689,63256,-14214
,소계,168247,158647,131430,-36817
,진입도로,8663,10230,8711,48
,진입도로 사면,9246,28230,13712,4466
,소계,17909,38460,22423,4514
,합계(2공구개발지역),186156,197107,153853,-32303
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
