0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Kwon, Eun_Ho",권은호,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,학명,,,,,,,,,,국명,,,,,,,,,,국명 학명,,,,,,,,,,학명 국명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,연번,학명,국명,이명1,이명2,이명3,이명4,이명5,이명6,종합,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,문헌1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Actinia equina,해변말미잘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Anthopleura japonica,갈색꽃해변말미잘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Anthopleura kurogane,겅점꽃해변말미잘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Anthopleura midori,풀색꽃해변말미잘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Actiniidae sp.,해변말미잘류,해변말미잘sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
