순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
1,잠자리목,Odonata,실잠자리과,Coenagrionidae,아시아실잠자리,Ischnura asiatica,1,
2,,,,,노란실잠자리,Ceriagrion melanurum,1,○
3,,,왕잠자리과,Aeshnidae,왕잠자리,Orthetrum albistylum,3,○
4,,,,,황줄왕잠자리,Polycanthagyna melanictera,1,
5,,,,,도깨비왕잠자리,Anaciaeschna martini,1,
6,,,,,큰별박이왕잠자리,Aeshna nigroflava,1,○
7,,,,,먹줄왕잠자리,Anax nigrofasciatus,1,○
8,,,잠자리과,Libellulidae,밀잠자리,Anax parthenope subsp. julius,3,○
9,,,,,된장잠자리,Pantala flavescens,14,○
10,,,,,산깃동잠자리,Sympetrum  baccha,10,
11,,,,,두점박이좀잠자리,Sympetrum  eroticum,5,○
12,,,,,깃동잠자리,Sympetrum  infuscatum,1,
13,,,,,고추좀잠자리,Sympetrum  depre siusculum,4,○
14,,,,,고추잠자리,Crocothemis  servilia,2,○
15,,,,,큰밀잠자리,Orthetrum melania,1,○
16,,,,,흰얼굴좀잠자리,Sympetrum  kunckeli,1,○
17,바퀴목,Dictyoptera,사마귀과,Mantidae,왕사마귀,Tenodera  sinensis,4,○
18,,,,,넓적배사마귀,Hierodula  pate lifera,2,
19,,,,,사마귀,Tenodera  angustipennis,2,○
20,,,바퀴과,Blattellidae,산바퀴,Bla te la nipponica,3,
21,집게벌레목,Dermaptera,집게벌레과,Forficulidae,고마로브집게벌레,Timomenus  komarowi,1,○
22,,,,,좀집게벌레,Anechura japonica,1,○
23,메뚜기목,Orthoptera,꼽등이과,Rhaphidophoridae,꼽등이,Diestrammena  (Tachycines) coreana,3,
24,,,여치과,Tettigoniidae,여치,Gampsocleis  sedakov i subsp. obscura,1,
25,,,,,점박이쌕쌔기,Conocephalus  (Anisoptera) maculatus,4,
26,,,,,긴꼬리쌕쌔기,Conocephalus  (Anisoptera) exemptus,1,
27,,,,,검은다리실베짱이,Phaneroptera  nigroantennata,9,○
28,,,,,줄베짱이,Ducetia japonica,4,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
29,,,,,잔날개여치,Chizue la bonneti,1,
30,,,,,실베짱이,Phaneroptera  falcata,8,
31,,,,,매부리,Ruspolia lineosa,1,
32,,,,,중베짱이,Te tigonia  u suriana,1,
33,,,메뚜기과,Acrididae,팔공산밑들이메뚜기,Anapodisma  beybienkoi,1,○
34,,,,,참밑들이메뚜기,Podisma  abe rans,1,
35,,,,,제주밑들이메뚜기,Parapodisma  setouchiensis,1,
36,,,,,방아깨비,Acrida cinerea subsp. cinerea,3,
37,,,,,등검은메뚜기,Shirakiacris shirak i,1,
38,,,,,풀무치,Locusta  migratoria subsp. migratoria,1,
39,,,,,팥중이,Oedaleus  infernalis,1,
40,,,땅강아지과,Gryllotalpidae,땅강아지,Gry lotalpa  orientalis,2,○
41,,,귀뚜라미과,Gryllidae,왕귀뚜라미,Teleogry lus (Brachyteleogry lus) emma,2,
42,,,,,알락방울벌레,Dianemobius  fascipes subsp. nigrofasciatus,1,
43,,,,,긴꼬리,Oecanthus longicauda,3,
44,,,,,폭날개긴꼬리,Oecanthus euryelytra,2,
45,,,,,귀뚜라미,Velarifictorus aspersus,1,
46,,,어리귀뚜라미과,Mogoplistidae,어리귀뚜라미,Ornebius kanetataki,2,
47,,,모메뚜기과,Tetrigidae,모메뚜기,Tetrix japonica,2,○
48,,,섬서구메뚜기과,Pyrgomorphidae,섬서구메뚜기,Atractomorpha  lata,3,
49,대벌레목,Phasmida,대벌레과,Phasmatidae,대벌레,Ramulus i regulariterdentatus,2,○
50,,,,,긴수염대벌레,Phraortes  i lepidus,2,
51,노린재목,Hemiptera,소금쟁이과,Gerridae,등빨간소금쟁이,Ge ris (Macroge ris) gracilicornis,1,
52,,,,,왕소금쟁이,Aquarius elongatus,1,○
53,,,,,소금쟁이,Aquarius paludum subsp. paludum,1,○
54,,,,,애소금쟁이,Ge ris (Ge ris) latiabdominis,1,○
55,,,송장헤엄치게과,Notonectidae,송장헤엄치게,Notonecta  (Paranecta) trigu tata,1,○
56,,,뿔노린재과,Acanthosomatidae,긴가위뿔노린재,Acanthosoma  labiduroides,2,○
57,,,,,굵은가위뿔노린재,Acanthosoma  cra sicaudum,1,
58,,,,,남방뿔노린재,Elasmostethus  nubilus,7,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
59,,,,,푸토니뿔노린재,Elasmucha putoni,1,
60,,,,,노랑무늬뿔노린재,Sastragala scute lata,3,
61,,,긴노린재과,Lygaeidae,큰흰무늬긴노린재,Metochus  abbreviatus,1,○
62,,,,,달라스긴노린재,Neolethaeus  da lasi,4,
63,,,,,측무늬표주박긴노린재,Paraparomius  lateralis,1,
64,,,,,애긴노린재,Nysius plebejus,6,
65,,,,,굴뚝긴노린재,Panaorus  japonicus,1,○
66,,,큰별노린재과,Largidae,여수별노린재,Physopelta cinctico lis,4,
67,,,,,귤큰별노린재,Physopelta  gu ta subsp. gu ta,1,
68,,,침노린재과,Reduviidae,다리무늬침노린재,Sphedanolestes  (Sphedanolestes) impre sico lis,1,
69,,,별노린재과,Pyrrhocoridae,땅별노린재,Py rhocoris  sibiricus,2,○
70,,,알노린재과,Plataspididae,무당알노린재,Megacopta punctati sima,5,○
71,,,땅노린재과,Cydnidae,땅노린재,Macroscytus  japonensis,8,○
72,,,,,장수땅노린재,Adrisa  magna,1,○
73,,,허리노린재과,Coreidae,넓적배허리노린재,Homoeocerus  (Tliponius) dilatatus,1,
74,,,,,시골가시허리노린재,Cletus punctiger,4,○
75,,,,,우리가시허리노린재,Cletus schmidti,2,○
76,,,,,떼허리노린재,Hygia  (Colpura) lativentris,2,
77,,,,,두점배허리노린재,Homoeocerus  (Tliponius) unipunctatus,1,
78,,,,,꽈리허리노린재,Acanthocoris  sordidus,1,○
79,,,호리허리노린재과,Alydidae,막대허리노린재,Paraplesius unicolor,,○
80,,,,,호리허리노린재,Leptocorisa chinensis,2,
81,,,,,톱다리개미허리노린재,Riptortus  clavatus,2,○
82,,,잡초노린재과,Rhopalidae,삿포로잡초노린재,Rhopalus  (Aeschyntelus) sapporensis,2,○
83,,,,,점흑다리잡초노린재,Stictopleurus  minutus,1,
84,,,,,투명잡초노린재,Liorhy sus hyalinus,1,
85,,,광대노린재과,Scuteleridae,도토리노린재,Eurygaster testudinaria subsp. testudinaria,2,
86,,,장님노린재과,Miridae,변색장님노린재,Adelphocoris  suturalis,1,○
87,,,,,홍색얼룩장님노린재,Stenotus rubrovi tatus,1,
88,,,,,애무늬고리장님노린재,Apolygus  spinolae,4,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
89,,,,,날개홍선장님노린재,Creontiades  coloripes,1,
90,,,노린재과,Pentatomidae,점박이둥글노린재,Eysarcoris  gu tigerus,1,
91,,,,,북쪽비단노린재,Eurydema  gebleri subsp. gebleri,1,
92,,,,,풀색노린재,Nezara antennata,1,
93,,,,,갈색날개노린재,Plautia stali,41,
94,,,,,열점박이노린재,Lelia decempunctata,1,
95,,,,,썩덩나무노린재,Halyomorha  halys,15,○
96,,,,,알락수염노린재,Dolycoris  baccarum,4,
97,,,,,메추리노린재,Aelia fieberi,5,
98,,,,,홍줄노린재,Graphosoma  rubrolinneatum,1,
99,,,,,가시노린재,Carbula putoni,18,○
100,,,,,장흙노린재,Pentatoma  semiannulata,9,○
101,,,,,기름빛풀색노린재,Glaucias subpunctatus,2,
102,,,,,억새노린재,Gonopsis  a finis,1,
103,,,,,다리무늬두흰점노린재,Dalpada  cinctipes,2,
104,,,매미과,Cicadidae,말매미,Cryptotympana  atrata,5,○
105,,,,,애매미,Meimuna  opalifera,4,○
106,,,,,털매미,Platypleura kaempferi,2,
107,,,,,유지매미,Graptopsaltria  nigrofuscata,1,○
108,,,방패벌레과,Tingidae,버즘나무방패벌레,Corythucha ciliata,1,
109,,,매미충과,Cicadellidae,만주귀매미,Petalocephala manchurica,14,
110,,,,,귀매미,Ledra auditura,3,
111,,,,,끝검은말매미충,Bothrogonia  fe ruginea,8,○
112,,,알멸구과,Issidae,알락알멸구,Ishiharanus iguch i,3,
113,,,상투벌레과,Dictyopharidae,깃동상투벌레,Orthopagus  lunulifer,2,
114,,,방패멸구과,Tropiduchidae,운계방패멸구,O soides  lineatus,6,
115,,,쥐머리거품벌레과,Cercopidae,쥐머리거품벌레,Eoscartopsis  a similis,4,
116,,,선녀벌레과,Flatidae,선녀벌레,Geisha distincti sima,8,
117,,,,,봉화선녀벌레,Mimophantia  maritima,1,
118,,,거품벌레과,Aphrophoridae,흰띠거품벌레,Obiphora  intermedia,1,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
119,,,,,갈잎거품벌레,Petaphora maritima,4,
120,,,큰날개매미충과,Ricaniidae,신부날개매미충,Euricania clara,17,
121,,,,,일본날개매미충,Orosanga  japonica,2,
122,,,,,남쪽날개매미충,Ricania taeniata,1,○
123,풀잠자리목,Neuroptera,풀잠자리과,Chrysopidae,흰띠풀잠자리,Cunctochrysa albolineata,1,
124,딱정벌레목,Coleoptera,물맴이과,Gyrinidae,물맴이,Gyrinus (Gyrinus) japonicus francki,,○
125,,,딱정벌레과,Carabidae,줄딱정벌레,Aulonocarabus (Aulonocarabus)canaliculatussubsp.pappianus,16,
126,,,,,멋쟁이딱정벌레,Coptolabrus jankowsk i subsp. jankowsk i,22,
127,,,,,큰명주딱정벌레,Calosoma  (Campalita) chinense,1,
128,,,,,제주왕딱정벌레,Isiocarabus  fiduciarius subsp. saishutoicus,64,
