종명,각 격자에서 관찰된 개체수,,,,,
종명,E2,E3,E5,E6,E8,E9
꿩,2,6,4,3,,1
큰기러기,69,294,"23,635","10,592",,"6,074"
쇠기러기,111,"1,624","33,075","2,204",,"2,830"
흰이마기러기,,,,,,2
줄기러기,,,,,,1
흰기러기,,,1,,,
캐나다기러기,,,,,,3
큰고니,,3,168,,,
혹부리오리,,8,12,22,,
황오리,,,,6,,
원앙,4,,,,,1
알락오리,,37,14,,,41
청머리오리,,6,,,,13
홍머리오리,11,2,8,,,66
청둥오리,22,68,197,,,151
흰뺨검둥오리,83,129,723,36,,985
넓적부리,37,4,14,,,57
고방오리,,,12,26,,14
발구지,,,,2,,22
가창오리,,,,,,12
쇠오리,14,12,45,18,,97
흰죽지,82,,8,,,9
댕기흰죽지,40,,,,,
검은머리흰죽지,6,,,,,
흰뺨오리,,,1,,,
비오리,,6,,,,1
논병아리,5,2,7,7,,5
종명,각 격자에서 관찰된 개체수,,,,,
종명,E2,E3,E5,E6,E8,E9
뿔논병아리,1,,19,,,42
황새,,,,,1,
노랑부리저어새,4,,22,1,,5
저어새,,,1,,,
알락해오라기,,,,,,1
덤불해오라기,2,2,1,,,2
해오라기,,2,4,4,,4
검은댕기해오라기,2,,2,,,
황로,,20,19,25,,45
왜가리,12,69,155,155,,114
중대백로,14,81,236,276,,277
대백로,4,3,5,,,91
중백로,,21,56,50,,108
쇠백로,3,26,17,50,,92
민물가마우지,5,40,28,28,,16
황조롱이,3,,2,4,,
새호리기,,1,,,,1
매,,,,1,,1
흰꼬리수리,,,2,,,
개구리매,,,,,,1
잿빛개구리매,,1,,1,,
참매,,,1,,,
말똥가리,2,,3,1,,2
쇠물닭,5,,,2,,
물닭,120,36,17,10,,112
검은목두루미,,,,,1,2
흑두루미,,,,,129,"2,091"
장다리물떼새,,,,,,13
댕기물떼새,,1,,53,,35
꼬마물떼새,,2,23,16,,
흰물떼새,,,9,14,,
꺅도요,,,1,,,3
흑꼬리도요,,,1,,,
큰뒷부리도요,,,,1,,
중부리도요,,,,,,11
학도요,,,8,,,1
붉은발도요,,,,4,,1
종명,각 격자에서 관찰된 개체수,,,,,
종명,E2,E3,E5,E6,E8,E9
청다리도요,,1,,2,,30
삑삑도요,2,2,4,,,
알락도요,,,3,32,,31
깝작도요,,,1,1,,1
종달도요,,,1,,,2
메추라기도요,,,,,,6
민물도요,,,,1,,
괭이갈매기,,22,86,44,,164
재갈매기,,,,2,,3
한국재갈매기,,11,21,5,,52
붉은부리갈매기,,43,8,46,,15
쇠제비갈매기,,,,2,,
집비둘기,,1,,,,
멧비둘기,52,43,59,31,,35
뻐꾸기,1,,,1,,
소쩍새,,,1,,,
파랑새,5,1,,,,
물총새,5,2,,,,1
쇠딱다구리,,,2,,,
오색딱다구리,,,2,,,
청딱다구리,,1,1,,,
때까치,4,,1,1,,
물때까치,,,1,,,
꾀꼬리,,,,1,,
어치,,,3,,,
물까치,8,,3,,,
까치,33,16,11,6,,13
큰부리까마귀,7,,,,,
박새,3,8,23,,,
진박새,,,3,,,
곤줄박이,,,2,,,
쇠박새,,,29,,,
스윈호오목눈이,,4,28,21,,2
갈색제비,,,2,,,
제비,5,3,46,8,,77
오목눈이,,,13,,,
종다리,,8,,8,,2
종명,각 격자에서 관찰된 개체수,,,,,
종명,E2,E3,E5,E6,E8,E9
개개비사촌,,,17,2,,8
직박구리,12,,10,14,,3
개개비,9,47,75,20,,20
쇠개개비,,,,2,,
산솔새,,,1,,,
붉은머리오목눈이,89,91,256,,,62
상모솔새,,,2,,,
호랑지빠귀,,,2,,,
되지빠귀,,,2,1,,
흰배지빠귀,,,1,2,,
노랑지빠귀,,4,8,,,4
개똥지빠귀,,3,12,,,16
딱새,4,5,9,,,
검은딱새,,,,4,,
쇠솔딱새,,,,1,,
큰유리새,,,1,,,
참새,266,254,783,179,,417
흰눈썹긴발톱할미새,,,,,,6
알락할미새,,,5,3,,6
백할미새,,9,6,5,,7
큰밭종다리,,,1,,,
힝둥새,,6,8,,,3
흰등밭종다리,,,3,,,7
붉은가슴밭종다리,,,10,,,4
밭종다리,,22,16,64,,3
되새,,18,12,,,
방울새,1,15,,10,,
검은머리방울새,,,4,,,
콩새,,3,,,,
쇠붉은뺨멧새,2,,,2,,3
쑥새,6,28,34,,,12
노랑턱멧새,,,3,,,
촉새,5,4,14,2,,
북방검은머리쑥새,,,25,3,,15
검은머리쑥새,,,10,,,10
합계(총 136 종),46,57,92,62,3,78
"합계(총 93,668 개체)","1,182","3,181","60,240","14,138",431,"14,496"
