년 도,업  종,업소수,추정면적,"공업용수원단위
(㎥/천㎡/일)",용수용도,,,,폐수 발생,,,폐수화율,,유기물 부하량,,,,업종적용
,,,,,계,공업용수,생활용수,비율1,발생량,방류량,비율2,발생량 대비,방류량 대비,발  생,농 도,방  류,농 도,
,"석탄, 원유 및 천연가스광업",45,,,50737,,,,50299,,,99.14,,,,,,
,금속광업,13,,,2912,,,,1896,,,65.11,,,,,,
,비금속광물광업;연료용제외,226,,,25773,,,,22663,,,87.93,,,,,,
,식료품,4621,,,470531,,,,339614,,,72.18,,,,,,
,음료,437,,,317044,,,,94281,,,29.74,,,,,,
,담배,6,,,3551,,,,2011,,,56.63,,,,,,
,섬유제품 제조업; 의복 제외,1504,,,385758,,,,358964,,,93.05,,,,,,
,"의복, 의복액세서리 및 모피",75,,,19454,,,,17858,,,91.8,,,,,,
,"가죽, 가방 및 신발",18,,,310,,,,197,,,63.55,,,,,,
,목재 및 나무제품;가구제외,134,,,10833,,,,2428,,,22.41,,,,,,
,"펄프, 종이 및 종이제품",368,,,578972,,,,523242,,,90.37,,,,,,
,인쇄 및 기록매체,1328,,,5048,,,,1936,,,38.35,,,,,,
,"코크스, 연탄 및 석유정제품",109,,,505112,,,,101626,,,20.12,,,,,,
,화학물질 및 화학제품;의약품 제외,3246,,,1224244,,,,486699,,,39.76,,,,,,
,의료용 물질 및 의약품,351,,,43233,,,,25196,,,58.28,,,,,,
,고무제품 및 플라스틱제품,1775,,,93333,,,,50273,,,53.86,,,,,,
,비 금 속 광 물 제 품,3562,,,481593,,,,359724,,,74.69,,,,,,
,1 차 금 속,1241,,,6555271,,,,506864,,,7.73,,,,,,
,금 속 가 공 제 품;기계및가구제외,6581,,,250914,,,,113667,,,45.3,,,,,,
,"전자부품, 컴퓨터, 영상, 음향 및 통신장비",1169,,,1105859,,,,904041,,,81.75,,,,,,
,전 기 장 비,314,,,48663,,,,24732,,,50.82,,,,,,
,가 구,619,,,12975,,,,7164,,,55.21,,,,,,
,"전 기 , 가 스 , 증 기 및 공 기 조 절 공 급",99,,,28865700,,,,95429,,,0.33,,,,,,
,수 도 사 업,298,,,35510181,,,,273528,,,0.77,,,,,,
,"폐기물 수집운반, 처리 및 원 료 재 생 업",754,,,78850,,,,38880,,,49.31,,,,,,
,도 매 및 상 품 중 개 업,108,,,8635,,,,6671,,,77.26,,,,,,
,보 건 업,903,,,103939,,,,18229,,,17.54,,,,,,
,기 타 개 인 서 비 스 업,413,,,26989,,,,18639,,,69.06,,,,,,
,도 금 시 설,2002,,,56432,,,,48389,,,85.75,,,,,,
,산 업 시 설 의 정 수 시 설,201,,,234124,,,,60457,,,25.82,,,,,,
,"산업시설의 폐가스ㆍ분진, 세 정 ㆍ 응 축 시 설",692,,,33452,,,,21884,,,65.42,,,,,,
,운수장비 수선 및 세차 또는 세 척 시 설,19562,,,267605,,,,180056,,,67.28,,,,,,
,이 화 학 시 험 시 설,1081,,,160700,,,,14905,,,9.28,,,,,,
,제1호부터 제81호까지의 분류에 속하지 아니하는 시설,968,,,53212882,,,,148922,,,0.28,,"기타기계, 기타제품",,,,
,,,,,,,,,,,,,,,,,,
,,2019년 산업폐수의 발생과 처리 (환경부),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
