진천초평 일반산업단지 업종배치계획 및 공업용수량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구  분,,,,면  적,,,,구성비,"인구
원단위","종사자수
(인)",이용인구,총인구수,미혼율,기혼율,미혼 종사자수,기혼 종사자수,세대당 인구수,기혼 가족수,"총 유발인구
(미혼종사자수+기혼가족수)",유입율,실 유입인구,"공업용수
원단위","공업 용수량
(톤/일)","생활용수
원단위","생활 용수량
(톤/일)","총 용수량
(톤/일)","폐수화율
(%)","폐수량
(톤/일)","유효수율
(%)","오수전환율
(%)","오수량
(톤/일)","지하수
유입량
(%)","지하수량
(톤/일)","총 오폐수량
(톤/일)",,,
,,,,㎡,,,평,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계,,,,1143762,,,345985,100,0,3532,0,3532,,,#REF!,#REF!,0,#REF!,#REF!,,#REF!,0,4173,0,288,4461,0,1229,0,0,240,0,147,1616,,,
"산업시설
용지",소  계,,,808165,,,244468,70.6,0,3453,0,3453,,,#REF!,#REF!,0,#REF!,#REF!,,#REF!,0,4173,0,280,4453,0,1229,0,0,232,,146,1607,,,
,"제조시설
용지",소  계,,802884,,,242870,70.1,0,3411,0,3411,,,#REF!,#REF!,0,#REF!,#REF!,,#REF!,0,4173,0,276,4449,0,1229,0,0,228,0,146,1603,,,70.197
,,C10,식료품 제조업,36797,,,11131,3.2,4.7,173,,,0.41,0.59,71,102,2.33,238,309,0.5,155,11.29,415,80,14,429,72.61,301,0.9,0.9,11,0.1,31,343,,,3.217
,,C14,"의복, 의복 액세서리
및 모피제품 제조업",,,,0,0,13.4,0,,,0.41,0.59,0,0,2.33,0,0,0.5,0,1.65,0,80,0,0,97.18,0,0.9,0.9,0,0.1,0,0,,,0
,,C16,"목재 및 나무제품 제조업
; 가구 제외",,,,0,0,2.2,0,,,0.41,0.59,0,0,2.33,0,0,0.5,0,0.5,0,80,0,0,17.46,0,0.9,0.9,0,0.1,0,0,,,0
,,C20,"화학물질 및 화학제품
제조업 (의약품 제외)",62236,,,18826,5.4,2.9,180,,,0.41,0.59,74,106,2.33,247,321,0.5,161,20.46,1274,80,15,1289,29.07,370,0.9,0.9,13,0.1,38,421,,,5.441
,,C22,"고무제품 및 플라스틱
제품 제조업",0,,,0,0,8.3,0,,,0.41,0.59,0,0,2.33,0,0,0.5,0,3.04,0,80,0,0,22.08,0,0.9,0.9,0,0.1,0,0,,,0
,,C23,비금속 광물제품 제조업,200210,,,60564,17.5,1.9,380,,,,,,,,,,,,6.52,1306,80,31,1337,29.1,380,0.9,0.9,26,0.1,41,447,,,17.505
,,C25,"금속가공제품 제조업
; 기계 및 가구 제외",0,,,0,0,5.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,C26,"전자 부품, 컴퓨터, 영상,
음향 및 통신장비 제조업",37478,22000,,11337,3.3,8.4,315,,,#REF!,#REF!,#REF!,#REF!,2.33,#REF!,#REF!,0.5,#REF!,6.92,260,80,26,286,67.75,176,0.9,0.9,22,0.1,20,218,,,3.277
,,C28,전기장비 제조업,0,,,0,0,8.8,0,,,#REF!,#REF!,#REF!,#REF!,2.33,#REF!,#REF!,0.5,#REF!,3.34,0,80,0,0,32.86,0,0.9,0.9,0,0.1,0,0,,,0
,,C29,기타 기계 및 장비 제조업,281332,333377,355377,85102,24.6,5,1407,,,#REF!,#REF!,#REF!,#REF!,2.33,#REF!,#REF!,0.5,#REF!,1.75,493,80,113,606,0.21,1,0.9,0.9,92,0.1,9,102,,,24.597
,,C31,기타 운송장비 제조업,0,,0,-1,0,7.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,C33,기타 제품 제조업,11714,70510,48510,3543,1,5.4,63,,,#REF!,#REF!,#REF!,#REF!,2.33,#REF!,#REF!,0.5,#REF!,1.65,19,80,5,24,0.21,0,0.9,0.9,5,0.1,1,6,,,1.024
,,,제한업종 제외 미분류,173117,,,52368,15.1,5.16,893,,,,,,,,,,,,2.34,406,80,72,478,0.21,1,0.9,0.9,59,0.1,6,66,,,15.136
,"물류시설
용지",소  계,,5281,,,1598,0.5,0,42,0,42,,,17,25,0,58,75,,38,0,0,0,4,4,0,0,0,0,4,0,0,4,,,
,,H52,"창고 및 운송관련 서비스업
(물류시설용지)",5281,,,1598,0.5,7.9,42,,42,0.41,0.59,17,25,2.33,58,75,0.5,38,0,0,80,4,4,80,0,0.9,0.9,4,0.1,0,4,,,
"지원시설
용지",소  계,,,11021,,,3334,1,,57,0,57,,,23,34,0,79,102,,51,,0,,5,5,,0,,,5,,1,6,,,
,지원시설용지,,,11021,,,3334,1,5.05,57,,57,0.41,0.59,23,34,2.33,79,102,0.5,51,0,0,80,5,5,80,0,0.9,0.9,5,0.1,1,6,,,
"공공시설
용지",소  계,,,324576,,,98183,28.4,,22,0,22,,,#REF!,#REF!,7.16,#REF!,#REF!,,#REF!,,0,,3,3,,0,,,3,,0,3,,,
,도  로,,,99415,,,30073,8.799999999999999,0,0,,,#REF!,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,#REF!,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,보행자도로,,,0,,,0,0,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,공공공지,,,2794,,,845,0.2,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,공  원 (근린공원),,,24744,,,7485,2.2,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,녹  지 (완충녹지),,,81861,,,24763,7.2,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,주차장,,,7413,,,2242,0.6,0,0,,,#REF!,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,#REF!,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,저류시설 (유수지),,,39274,,,11880,3.4,0,0,,,0.41,0.59,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.9,0.9,0,0.1,0,0,,,
,공공폐수처리시설,,,6500,,,1966,0.6,0.33,2,,,0.41,0.59,1,1,2.33,2,3,0.5,2,0,0,80,1,1,80,0,0.9,0.9,1,0.1,0,1,,,
,폐기물처리시설,,,59736,,,18070,5.2,0.33,20,,,0.36,0.64,7,13,2.5,33,40,0.43,17,0,0,80,2,2,80,0,0.9,0.9,2,0.1,0,2,,,
,배수시설,,,2839,,,859,0.2,0,0,,,0.41,0.59,0,0,2.33,0,0,0.5,0,0,0,80,0,0,80,0,0.9,0.9,0,0.1,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 톤/일),,,,,,,,,,,,
,,,,구분,,,,용수,,,,,,,,,,,,,,오·폐수량,비고,,,,,,,,,,,,,,
,,,,,,,,계,공업,생활,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24년 지정계획,,,,3358,3096,262,,,,,,,,,,,,1088,15개 업종 → 10개 업종,,,,,,,,,,,,,,
,,,,24년 유치업종,,,,4582,4187,395,,,,,,,,,,,,2266,15개 업종,,,,,,,,,,,,,,
,,,,승인신청용,,,,3336,2963,373,,,,,,,,,,,,1045,10개 업종 (최종),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"* 인구원단위 : 산업입지 수급계획 자료집 (2015.07, 국토연구원)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"* 지원시설 인구원단위 : 청주테크노폴리스, 오송제2생명과학단지 원단위 평균 적용",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,* 공공시설 인구원단위 : 파주LCD산업단지 기준 적용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"*기혼율, 세대당 인구수, 유입율 : 진천군기본계획",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"* 공업용수 원단위 : 「수도정비 기본계획 수립 지침」(환경부, 2018), 부지면적 1,000㎡당 원단위",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"* 생활용수 원단위 : 상수도시설기준 (2010, 한국상하수도 협회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"* 생활용수 : 공장은 공장 적용, 물류시설/지원시설/오폐수종말처리장, 변전소는 사무실 적용 (중간값인 80L 적용)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"* 폐수화율 : 「2020 산업폐수의 발생과 처리」(환경부, 2018년 기준)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,파일 페이지 p.574 (서류 p.564) 업종별 공업용수공급현황 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,파일 페이지 p.318 (서류 p.308) 업종별 폐수방류량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,제한업종,,,,,,,,,,,,C13,,C10,4.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C15,,C11,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C17,,C12,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C27,,C14,13.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,C30,,C16,2.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C18,9.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C19,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C20,2.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C21,5.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C22,8.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C23,1.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C24,4.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C25,5.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C26,8.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C28,8.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C29,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C31,7.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C32,4.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,C33,5.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,5.163157894736842,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,454882,,,137602,99.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25045,,,7576,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22241,,,6728,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33619,,,10170,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50162,,,15174,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11372,,,3440,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43021,,,13014,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
