구 분,25년 02월,,,25년 03월,,,25년 04월,,,25년 05월,,,25년 06월,,,25년 07월,,,25년 08월,,,25년 09월,,,25년 10월,,,25년 11월,,,25년 12월,,,26년 01월,,,26년 02월,,
,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30,0~10,10~20,20~30
01. 평가준비서 작성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02. 평가협의회 심의(30일),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03. 결정내용 공개(14일),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04. 초안 작성 및 검토,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05. 초안 제출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06. 주민의견수렴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"07. 주민 등의 의견수렴 결과공개
     (합동설명회 개최 결과 통보)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08. 초안 협의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09. 본안 작성 및 검토,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. 본안 제출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. 본안 협의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. 재대행(외주) 조사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - 육상동식물상 조사,,,겨울,,,,,봄,,,,,,,여름,,,,,,,가을,,,,,,,,,겨울,,,,,,,,
" - 환경질 측정
   (대기질,지표수질,소음진동)",,,,,,1차,,,,,,,,,2차,,,,,,,3차,,,,,,,,,,,,,,,,,
" - 환경질 측정
   (지하수질,악취(복합),건강)",,,,,,1차,,,,,,,,,2차,,,,,,,3차,,,,,,,,,,,,,,,,,
" - 환경질 측정
   (토양)",,,,,,1차,,,,,,,,,2차,,,,,,,3차,,,,,,,,,,,,,,,,,
" - 해양 조사
   (생태계,수질모델링)",,,,,,1차,,,,,,,,,2차,,,,,,,3차,,,,,,,,,,,,,,,,,
" - 해양 조사
   (물리)",,,,,,,,,,,,,,,1차,,,,,,,,,,,,,,,,,,,,,,,,
" - 해양 조사
   (화학,퇴적물)",,,,,,1차,,,,,,,,,2차,,,,,,,3차,,,,,,,,,,,,,,,,,
" - 대기모델링
   (CALPUFF,CMAQ)",,,,,,,,,CALPUFF 수행,,,,,,,,,,CMAQ 의견시 수행(2개월 소요),,,,,,,,,,,,,,,,,,,,
" - 기상 조사
   (부지기상)",협의회 의견 및 초안검토의견 등 반영하여 수행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" - 기상 조사
   (고층기상)",협의회 의견 및 초안검토의견 등 반영하여 수행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - 경관 조사,,,,,,,,,,초안,,,,,,,,,,,,본안,,,,,,,,,,,,,,,,,
 - 소음모델링,,,,,,,,,,,,,,,,,,,,,,의견시 수행,,,,,,,,,,,,,,,,,
