하천 생물측정망 어류 출현종 정보,,,,,,,,
조사년도,조사회차,조사지점,학명,국명,개체수,,,
2023,1,음성천-1,Microphysogobio yaluensis,돌마자,13,4,,돌마자
2023,1,음성천-1,Misgurnus anguillicaudatus,미꾸리,8,4,,미꾸리
2023,1,음성천-1,Rhynchocypris oxycephalus,버들치,11,4,,버들치
2023,2,음성천-1,Hemibarbus longirostris,참마자,1,4,,참마자
2023,2,음성천-1,Microphysogobio yaluensis,돌마자,2,4,,배스
2023,2,음성천-1,Micropterus salmoides,배스,1,4,,드렁허리
2023,2,음성천-1,Misgurnus anguillicaudatus,미꾸리,3,4,,얼록동사리
2023,2,음성천-1,Monopterus albus,드렁허리,1,4,,참붕어
2023,2,음성천-1,Odontobutis interrupta,얼록동사리,1,4,,밀어
2023,2,음성천-1,Pseudorasbora parva,참붕어,7,4,,각시붕어
2023,2,음성천-1,Rhinogobius brunneus,밀어,21,4,,긴몰개
2023,2,음성천-1,Rhodeus uyekii,각시붕어,27,4,,피라미
2023,2,음성천-1,Squalidus gracilis majimae,긴몰개,14,4,,
2023,2,음성천-1,Zacco platypus,피라미,367,4,,
2024,1,소여천,Microphysogobio yaluensis,돌마자,2,2,,돌마자
2024,1,소여천,Rhynchocypris oxycephalus,버들치,3,2,,버들치
2024,1,소여천,Squalidus gracilis majimae,긴몰개,2,2,,긴몰개
2024,1,소여천,Zacco platypus,피라미,112,2,,피라미
2024,2,소여천,Misgurnus anguillicaudatus,미꾸리,1,2,,미꾸리
2024,2,소여천,Rhinogobius brunneus,밀어,2,2,,밀어
2024,2,소여천,Rhynchocypris oxycephalus,버들치,7,2,,
2024,2,소여천,Zacco platypus,피라미,41,2,,
2023,1,구안천,Microphysogobio yaluensis,돌마자,18,3,,돌마자
2023,1,구안천,Misgurnus anguillicaudatus,미꾸리,1,3,,미꾸리
2023,1,구안천,Rhinogobius brunneus,밀어,14,3,,밀어
2023,1,구안천,Rhodeus uyekii,각시붕어,1,3,,각시붕어
2023,1,구안천,Rhynchocypris oxycephalus,버들치,36,3,,버들치
2023,1,구안천,Squalidus gracilis majimae,긴몰개,19,3,,긴몰개
2023,1,구안천,Zacco platypus,피라미,49,3,,피라미
2023,2,구안천,Acheilognathus rhombeus,납지리,1,3,,납지리
2023,2,구안천,Carassius auratus,붕어,2,3,,붕어
2023,2,구안천,Microphysogobio yaluensis,돌마자,10,3,,동자개
2023,2,구안천,Pseudobagrus fulvidraco,동자개,2,3,,모래무지
2023,2,구안천,Pseudogobio esocinus,모래무지,1,3,,
2023,2,구안천,Rhinogobius brunneus,밀어,28,3,,
2023,2,구안천,Rhynchocypris oxycephalus,버들치,19,3,,
2023,2,구안천,Squalidus gracilis majimae,긴몰개,20,3,,
2023,2,구안천,Zacco platypus,피라미,48,3,,
2024,1,음성천-2,Hemibarbus longirostris,참마자,1,5,,참마자
2024,1,음성천-2,Iksookimia koreensis,참종개,1,5,,참종개
2024,1,음성천-2,Microphysogobio yaluensis,돌마자,81,5,,돌마자
2024,1,음성천-2,Misgurnus anguillicaudatus,미꾸리,1,5,,미꾸리
2024,1,음성천-2,Orthrias nudus,대륙종개,5,5,,대륙종개
2024,1,음성천-2,Pseudogobio esocinus,모래무지,1,5,,모래무지
2024,1,음성천-2,Pungtungia herzi,돌고기,14,5,,돌고기
2024,1,음성천-2,Rhinogobius brunneus,밀어,15,5,,밀어
2024,1,음성천-2,Zacco platypus,피라미,98,5,,피라미
2024,2,음성천-2,Acheilognathus lanceolata intermedia,납자루,1,5,,납자루
2024,2,음성천-2,Acheilognathus rhombeus,납지리,5,5,,납지리
2024,2,음성천-2,Gnathopogon strigatus,줄몰개,1,5,,줄몰개
2024,2,음성천-2,Iksookimia koreensis,참종개,1,5,,참붕어
2024,2,음성천-2,Microphysogobio yaluensis,돌마자,38,5,,긴몰개
2024,2,음성천-2,Misgurnus anguillicaudatus,미꾸리,1,5,,
2024,2,음성천-2,Pseudogobio esocinus,모래무지,9,5,,
2024,2,음성천-2,Pseudorasbora parva,참붕어,1,5,,
2024,2,음성천-2,Pungtungia herzi,돌고기,51,5,,
2024,2,음성천-2,Rhinogobius brunneus,밀어,67,5,,
2024,2,음성천-2,Squalidus gracilis majimae,긴몰개,7,5,,
2024,2,음성천-2,Zacco platypus,피라미,126,5,,
