하천 생물측정망 저서성대형무척추동물 출현종 정보,,,,,,,
조사년도,조사회차,조사지점,학명,국명,개체밀도,,
2023,1,음성천-1,Cheumatopsyche sp.,꼬마줄날도래류,4,4,꼬마줄날도래류
2023,1,음성천-1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),463,4,깔따구류 spp.(red type 아닌 것)
2023,1,음성천-1,Dugesia sp.,플라나리아류,4,4,플라나리아류
2023,1,음성천-1,Limnodrilus gotoi,실지렁이,37,4,실지렁이
2023,1,음성천-1,Radix auricularia,물달팽이,15,4,물달팽이
2023,2,음성천-1,Baetis fuscatus,개똥하루살이,282,4,개똥하루살이
2023,2,음성천-1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),1039,4,돌거머리
2023,2,음성천-1,Erpobdella lineata,돌거머리,19,4,왼돌이물달팽이
2023,2,음성천-1,Limnodrilus gotoi,실지렁이,63,4,등에류
2023,2,음성천-1,Physa acuta,왼돌이물달팽이,12,4,
2023,2,음성천-1,Radix auricularia,물달팽이,67,4,
2023,2,음성천-1,Tabanidae sp.,등에류,4,4,
2024,1,소여천,Baetis fuscatus,개똥하루살이,226,2,개똥하루살이
2024,1,소여천,Baetis ursinus,방울하루살이,30,2,방울하루살이
2024,1,소여천,Ceratopogonidae sp.,등에모기류,45,2,등에모기류
2024,1,소여천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),571,2,깔따구류 spp.(red type 아닌 것)
2024,1,소여천,Epeorus pellucidus,부채하루살이,4,2,부채하루살이
2024,1,소여천,Hydropsyche orientalis,동양줄날도래,4,2,동양줄날도래
2024,1,소여천,Limnodrilus gotoi,실지렁이,352,2,실지렁이
2024,1,소여천,Potamyia KUb,강줄날도래 KUb,4,2,강줄날도래 KUb
2024,2,소여천,Baetis fuscatus,개똥하루살이,119,2,물잠자리
2024,2,소여천,Baetis ursinus,방울하루살이,4,2,꼬마줄날도래
2024,2,소여천,Calopteryx japonica,물잠자리,4,2,돌거머리
2024,2,소여천,Cheumatopsyche brevilineata,꼬마줄날도래,15,2,또아리물달팽이
2024,2,소여천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),49,2,아시아실잠자리
2024,2,소여천,Erpobdella lineata,돌거머리,4,2,입술하루살이
2024,2,소여천,Gyraulus convexiusculus,또아리물달팽이,4,2,노란측범잠자리
2024,2,소여천,Ischnura asiatica,아시아실잠자리,12,2,물달팽이
2024,2,소여천,Labiobaetis atrebatinus,입술하루살이,4,2,
2024,2,소여천,Lamelligomphus ringens,노란측범잠자리,4,2,
2024,2,소여천,Limnodrilus gotoi,실지렁이,8,2,
2024,2,소여천,Radix auricularia,물달팽이,15,2,
2023,1,구안천,Ceratopogonidae sp.,등에모기류,49,3,등에모기류
2023,1,구안천,Chaetogaster limnaei,물지렁이,4,3,물지렁이
2023,1,구안천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),542,3,깔따구류 spp.(red type 아닌 것)
2023,1,구안천,Dugesia sp.,플라나리아류,1134,3,플라나리아류
2023,1,구안천,Limnodrilus gotoi,실지렁이,34,3,실지렁이
2023,1,구안천,Physa acuta,왼돌이물달팽이,4,3,왼돌이물달팽이
2023,1,구안천,Radix auricularia,물달팽이,4,3,물달팽이
2023,2,구안천,Ceratopogonidae sp.,등에모기류,15,3,
2023,2,구안천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),446,3,
2023,2,구안천,Dugesia sp.,플라나리아류,141,3,
2023,2,구안천,Limnodrilus gotoi,실지렁이,45,3,
2023,2,구안천,Physa acuta,왼돌이물달팽이,19,3,
2023,2,구안천,Radix auricularia,물달팽이,15,3,
2024,1,음성천-2,Baetis fuscatus,개똥하루살이,386,5,개똥하루살이
2024,1,음성천-2,Ceratopogonidae sp.,등에모기류,15,5,등에모기류
2024,1,음성천-2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),1345,5,깔따구류 spp.(red type 아닌 것)
2024,1,음성천-2,Dugesia sp.,플라나리아류,12,5,플라나리아류
2024,1,음성천-2,Limnodrilus gotoi,실지렁이,363,5,실지렁이
2024,1,음성천-2,Teloganopsis punctisetae,등줄하루살이,4,5,등줄하루살이
2024,2,음성천-2,Acentrella gnom,깨알하루살이,8,5,깨알하루살이
2024,2,음성천-2,Baetiella tuberculata,애호랑하루살이,4,5,애호랑하루살이
2024,2,음성천-2,Cheumatopsyche brevilineata,꼬마줄날도래,8,5,꼬마줄날도래
2024,2,음성천-2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),19,5,돌거머리
2024,2,음성천-2,Erpobdella lineata,돌거머리,12,5,노란측범잠자리
2024,2,음성천-2,Lamelligomphus ringens,노란측범잠자리,12,5,새뱅이
2024,2,음성천-2,Limnodrilus gotoi,실지렁이,12,5,물달팽이
2024,2,음성천-2,Neocaridina denticulata denticulata,새뱅이,30,5,
2024,2,음성천-2,Radix auricularia,물달팽이,8,5,
