■ 부장리 고분군 도로조서,,,,,,,,,
구분,등급,번호,"폭원
(m)","연장
(m)","면적
(㎡)",기능,기점,종점,비고
,,,,,,,,,
총계,,,,,10190,-,-,-,
신규,중로3류,진1,16,93,1488,진입로,북서측입구,남서측입구,
신규,소로1류,진2,6,64,384,진입로,동남측입구,진1,
신규,소로2류,연1,4~8,403,2821,연결로,가-1,가-1,
신규,중로3류,연2,14,13,182,연결로,연1,연1,
신규,소로2류,연3,8,42,336,연결로,연1,연1,
신규,소로3류,연4,4,167,668,연결로,연1,연5,
신규,소로3류,연5,5,41,205,연결로,연4,연6,
신규,소로3류,연6,4,121,484,연결로,연5,연7,
신규,소로3류,연7,7,34,238,연결로,연6,연8,
신규,소로3류,연8,6,233,1398,연결로,연7,연9,
신규,소로2류,연9,8,32,256,연결로,연8,연10,
신규,소로3류,연10,6,195,1170,연결로,연9,연1,
신규,소로3류,연11,2,29,58,연결로,남서측입구,연10,
신규,소로2류,연12,8,16,128,연결로,가-2,연8,
신규,소로3류,연13,4,16,64,연결로,가-3,연6,
신규,소로3류,연14,2,143,286,연결로,라-1,진1,
신규,소로3류,연15,4,6,24,연결로,연14,남서측입구,
