구 분,,,면적(㎡),,,구성비(%),,비고,
,,,당 초,증감,변 경,구성비(%),전체(%),,
,,,1519660,-,1519660,-,100,,
"1
공
구",합 계,,460315,-,460315,100,30.290657120671728,,
,주택건설용지,,5567,-,5567,1.2093892225975689,0.366331942671387,,
,,단독주택,5567,-,5567,1.2093892225975689,0.366331942671387,,
,산업시설용지,,281578,-2491,279087,60.62956888217851,18.365094823842178,,
,,제조시설용지,281578,-2491,279087,60.62956888217851,18.365094823842178,,
,복합용지,,12623,339,12962,2.8158978091089795,0.8529539502257084,,
,지원시설용지,,4942,-,4942,1.0736126348261517,0.3252043220193991,,
,공공시설용지,,155605,2152,157757,34.27153145128879,10.381072081913059,,
,,도로,63662,3838,67500,14.663871479313078,4.4417830304146975,,
,,보행자도로,107,-,107,0.02324495182646666,0.007041048655620337,,
,,공원,26945,819,27764,6.031521892617012,1.8269876156508693,오폐수시설 중복결정,
,,녹지,38913,-758,38155,8.288889130269489,2.51075898556256,,
,,하천,8894,-,8894,1.932155154622378,0.5852624929260493,,
,,주차장,9161,230,9391,2.0401246972182094,0.61796717686851,,
,,오폐수처리시설,1977,33,2010,0.4366575062728783,0.13226642801679322,공원중복결정,
,,완충저류시설,3500,-,3500,0.7603488915199375,0.23031467565113248,,
,,주유소,2446,-,2446,0.5313752539022191,0.16095705618362002,,
"2
공
구",합 계,,1059345,-,1059345,100,69.70934287932828,,
,산업시설용지,,1019479,-,1019479,96.23673118766786,67.08599291946882,,
,,연구용지,1019479,-,1019479,96.23673118766786,67.08599291946882,,
,공공시설용지,,39866,-,39866,3.763268812332149,2.6233499598594423,,
,,녹지,39866,-,39866,3.763268812332149,2.6233499598594423,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
