scientific_name,korean_name
Bryopsis australis,속깃털말
Bryopsis caespitosa,가시깃털말
Bryopsis corticulans,덮개깃털말
Bryopsis corymbosa,술깃털말
Bryopsis foliosa,야자깃털말
Bryopsis hypnoides,이끼깃털말
Bryopsis indica,인도깃털말
Bryopsis maxima,왕깃털말
Bryopsis muscosa,끈적깃털말
Bryopsis pennata var. minor,애기깃털말
Bryopsis pennata var. secunda,편생깃털말
Bryopsis plumosa,참깃털말
Bryopsis ryukyuensis,류큐깃털말
Bryopsis stolonifera,헛뿌리깃털말
Caulerpa geminata,두줄옥덩굴
Caulerpa okamurae,옥덩굴
Caulerpa racemosa var. macrophysa,막덩굴
Codium arabicum,떡청각
Codium barbatum,애기청각
Codium coactum,누운청각
Codium contractum,몽우리청각
Codium cylindricum,기둥청각
Codium dimorphum,형광떡청각
Codium fragile,청각
Codium hubbsii,방석청각
Codium intricatum,덤불청각
Codium minus,구슬청각
Codium platylobium,띠청각
Codium repens,닻청각
Codium saccatum,주맹기청각
Codium spinulosum,가시청각
Codium subtubulosum,말청각
Codium tenuifolium,우단청각
Codium latum,넓청각
Codium vermilara,사슴뿔청각
Derbesia marina,초록엉킨실
Derbesia rhizophora,헛뿌리엉킨실
Derbesia tenuissima,가는엉킨실
Pedobesia simplex,홑엉킨실붙이
Chlorodesmis caespitosa,포분솔
Chlorodesmis fastigiata,고분솔
Pseudulvella consociata,녹색반점말
Stigeoclonium lubricum,연두말
Microdictyon nigrescens,검정잎맥말
Microdictyon japonicum,잎맥말
Boodlea coacta,이끼좀대롱말
Chaetomorpha brachygona,덩이염주말
Chaetomorpha gracilis,곱슬염주말
Chaetomorpha linum,실염주말
Chaetomorpha macrotona,큰염주말
Chaetomorpha melagonium,타래염주말
Chaetomorpha moniligera,염주말
Chaetomorpha spiralis,나선염주말
Cladophora albida,솜대마디말
Cladophora dalmatica,복술대마디말
Cladophora flexuosa,빗살대마디말
Cladophora glomerata,수정대마디말
Cladophora hutchinsiae,갈래대마디말
Cladophora hutchinsioides,헐렁대마디말
Cladophora oligoclada,작은가지대마디말
Cladophora oligocladoidea,빈가지대마디말
Cladophora opaca,흐린대마디말
Cladophora rupestris,바위대마디말
Cladophora sericea,덤불대마디말
Cladophora stimpsonii,명주대마디말
Cladophora vadorum,금발대마디말
Cladophora vagabunda,송이가지대마디말
Cladophora wrightiana var. minor,갈색대마디말
Rhizoclonium riparium,돌헛뿌리말
Pseudocladophora conchopheria,고둥옷헛대마디말
Dictyosphaeria cavernosa,그물공말
Collinsiella cava,공초록혹
Collinsiella japonica,보목초록혹
Collinsiella tuberculata,마디초록혹
Monostroma angicava,삿갓홑파래
Monostroma areolatum,그물홑파래
Monostroma crassidermum,주름겹홑파래
Monostroma crassissimum,부은홑파래
Monostroma grevillei,주머니홑파래
Monostroma grevillei var. arcticum,극홑파래
Monostroma latissimum,넓은홑파래
Monostroma nitidum,참홑파래
Monostroma pacificum,퍼진홑파래
Gayralia oxysperma,나팔개홑파래
Protomonostroma undulatum,주름얇은홑파래
Acrosiphonia spinescens,가시털말
Capsosiphon fulvescens,매생이
Ulothrix flacca,초록실
Ulothrix implexa,굵은초록실
Urospora penicilliformis,초록털말
Blidingia minima,애기파래
Kornmannia leptoderma,홑파래사촌
Ulva arasakii,아라사키갈파래
Ulva australis,구멍갈파래
Ulva californica,캘리포니아갈파래
